id,student_id,parent_id,reason_id,excuse_date_g,excuse_date_h,submitted_at,remarks_en,remarks_ar,status_en,status_ar
1,1,2,1,2025-05-15 00:00:00,07-11-1446,2025-05-15 00:00:00, , ,APPROVED,مقبول
2,1,4,1,2025-05-16 00:00:00,08-11-1446,2025-05-16 00:00:00, , ,APPROVED,مقبول
3,1,7,1,2025-05-17 00:00:00,07-11-1447,2025-05-17 00:00:00, , ,REJECTED,مرفوض
4,2,10,1,2025-05-18 00:00:00,08-11-1447,2025-05-18 00:00:00, , ,APPROVED,مقبول
5,3,18,1,2025-05-19 00:00:00,07-11-1448,2025-05-19 00:00:00, , ,REJECTED,مرفوض
6,3,19,1,2025-05-20 00:00:00,08-11-1448,2025-05-20 00:00:00, , ,REJECTED,مرفوض
7,4,25,1,2025-05-21 00:00:00,07-11-1449,2025-05-21 00:00:00, , ,APPROVED,مقبول
8,4,28,1,2025-05-22 00:00:00,08-11-1449,2025-05-22 00:00:00, , ,APPROVED,مقبول
9,5,30,1,2025-05-23 00:00:00,07-11-1450,2025-05-23 00:00:00, , ,REJECTED,مرفوض
10,5,31,1,2025-05-24 00:00:00,08-11-1450,2025-05-24 00:00:00, , ,APPROVED,مقبول
11,5,33,1,2025-05-25 00:00:00,07-11-1451,2025-05-25 00:00:00, , ,APPROVED,مقبول
12,5,35,1,2025-05-26 00:00:00,08-11-1451,2025-05-26 00:00:00, , ,REJECTED,مرفوض
13,6,39,1,2025-05-27 00:00:00,07-11-1452,2025-05-27 00:00:00, , ,APPROVED,مقبول
14,7,44,1,2025-05-28 00:00:00,08-11-1452,2025-05-28 00:00:00, , ,PENDING,قيد المراجعة
15,7,49,1,2025-05-29 00:00:00,07-11-1453,2025-05-29 00:00:00, , ,REJECTED,مرفوض
16,8,51,1,2025-05-30 00:00:00,08-11-1453,2025-05-30 00:00:00, , ,APPROVED,مقبول
17,9,58,1,2025-05-15 00:00:00,07-11-1446,2025-05-15 00:00:00, , ,PENDING,قيد المراجعة
18,9,60,1,2025-05-16 00:00:00,08-11-1446,2025-05-16 00:00:00, , ,REJECTED,مرفوض
19,9,63,1,2025-05-17 00:00:00,07-11-1447,2025-05-17 00:00:00, , ,APPROVED,مقبول
20,10,64,1,2025-05-18 00:00:00,08-11-1447,2025-05-18 00:00:00, , ,PENDING,قيد المراجعة
21,10,65,1,2025-05-19 00:00:00,07-11-1448,2025-05-19 00:00:00, , ,REJECTED,مرفوض
22,10,66,1,2025-05-20 00:00:00,08-11-1448,2025-05-20 00:00:00, , ,APPROVED,مقبول
23,10,68,1,2025-05-21 00:00:00,07-11-1449,2025-05-21 00:00:00, , ,PENDING,قيد المراجعة
24,11,71,1,2025-05-22 00:00:00,08-11-1449,2025-05-22 00:00:00, , ,REJECTED,مرفوض
25,11,72,1,2025-05-23 00:00:00,07-11-1450,2025-05-23 00:00:00, , ,APPROVED,مقبول
26,11,73,1,2025-05-24 00:00:00,08-11-1450,2025-05-24 00:00:00, , ,PENDING,قيد المراجعة
27,11,74,1,2025-05-25 00:00:00,07-11-1451,2025-05-25 00:00:00, , ,REJECTED,مرفوض
28,11,75,1,2025-05-26 00:00:00,08-11-1451,2025-05-26 00:00:00, , ,APPROVED,مقبول
29,11,77,1,2025-05-27 00:00:00,07-11-1452,2025-05-27 00:00:00, , ,PENDING,قيد المراجعة
30,12,78,1,2025-05-28 00:00:00,08-11-1452,2025-05-28 00:00:00, , ,REJECTED,مرفوض
31,12,80,2,2025-05-29 00:00:00,07-11-1453,2025-05-29 00:00:00, , ,APPROVED,مقبول
32,13,90,2,2025-05-30 00:00:00,08-11-1453,2025-05-30 00:00:00, , ,PENDING,قيد المراجعة
33,14,94,2,2025-05-15 00:00:00,07-11-1446,2025-05-15 00:00:00, , ,REJECTED,مرفوض
34,14,97,2,2025-05-16 00:00:00,08-11-1446,2025-05-16 00:00:00, , ,APPROVED,مقبول
35,14,98,2,2025-05-17 00:00:00,07-11-1447,2025-05-17 00:00:00, , ,PENDING,قيد المراجعة
36,15,100,1,2025-05-18 00:00:00,08-11-1447,2025-05-18 00:00:00, , ,REJECTED,مرفوض
37,15,103,1,2025-05-19 00:00:00,07-11-1448,2025-05-19 00:00:00, , ,APPROVED,مقبول
38,15,104,1,2025-05-20 00:00:00,08-11-1448,2025-05-20 00:00:00, , ,PENDING,قيد المراجعة
39,16,107,1,2025-05-21 00:00:00,07-11-1449,2025-05-21 00:00:00, , ,REJECTED,مرفوض
40,16,109,1,2025-05-22 00:00:00,08-11-1449,2025-05-22 00:00:00, , ,APPROVED,مقبول
41,16,110,1,2025-05-23 00:00:00,07-11-1450,2025-05-23 00:00:00, , ,PENDING,قيد المراجعة
42,17,114,1,2025-05-24 00:00:00,08-11-1450,2025-05-24 00:00:00, , ,REJECTED,مرفوض
43,17,117,1,2025-05-25 00:00:00,07-11-1451,2025-05-25 00:00:00, , ,APPROVED,مقبول
44,17,118,1,2025-05-26 00:00:00,08-11-1451,2025-05-26 00:00:00, , ,PENDING,قيد المراجعة
45,18,121,1,2025-05-27 00:00:00,07-11-1452,2025-05-27 00:00:00, , ,REJECTED,مرفوض
46,18,123,1,2025-05-28 00:00:00,08-11-1452,2025-05-28 00:00:00, , ,APPROVED,مقبول
47,18,125,1,2025-05-29 00:00:00,07-11-1453,2025-05-29 00:00:00, , ,PENDING,قيد المراجعة
48,19,132,1,2025-05-30 00:00:00,08-11-1453,2025-05-30 00:00:00, , ,REJECTED,مرفوض
49,20,135,1,2025-05-15 00:00:00,07-11-1446,2025-05-15 00:00:00, , ,APPROVED,مقبول
50,20,136,3,2025-05-16 00:00:00,08-11-1446,2025-05-16 00:00:00, , ,PENDING,قيد المراجعة
51,20,137,3,2025-05-17 00:00:00,07-11-1447,2025-05-17 00:00:00, , ,REJECTED,مرفوض
52,20,138,3,2025-05-18 00:00:00,08-11-1447,2025-05-18 00:00:00, , ,APPROVED,مقبول
53,21,141,3,2025-05-19 00:00:00,07-11-1448,2025-05-19 00:00:00, , ,PENDING,قيد المراجعة
54,21,145,3,2025-05-20 00:00:00,08-11-1448,2025-05-20 00:00:00, , ,REJECTED,مرفوض
55,22,149,3,2025-05-21 00:00:00,07-11-1449,2025-05-21 00:00:00, , ,APPROVED,مقبول
56,22,150,3,2025-05-22 00:00:00,08-11-1449,2025-05-22 00:00:00, , ,PENDING,قيد المراجعة
57,22,154,3,2025-05-23 00:00:00,07-11-1450,2025-05-23 00:00:00, , ,REJECTED,مرفوض
58,23,156,3,2025-05-24 00:00:00,08-11-1450,2025-05-24 00:00:00, , ,APPROVED,مقبول
59,23,157,3,2025-05-25 00:00:00,07-11-1451,2025-05-25 00:00:00, , ,PENDING,قيد المراجعة
60,23,158,3,2025-05-26 00:00:00,08-11-1451,2025-05-26 00:00:00, , ,REJECTED,مرفوض
61,24,162,3,2025-05-27 00:00:00,07-11-1452,2025-05-27 00:00:00, , ,APPROVED,مقبول
62,24,163,3,2025-05-28 00:00:00,08-11-1452,2025-05-28 00:00:00, , ,PENDING,قيد المراجعة
63,24,165,3,2025-05-29 00:00:00,07-11-1453,2025-05-29 00:00:00, , ,REJECTED,مرفوض
64,24,167,3,2025-05-30 00:00:00,08-11-1453,2025-05-30 00:00:00, , ,APPROVED,مقبول
65,25,169,3,2025-05-15 00:00:00,07-11-1446,2025-05-15 00:00:00, , ,PENDING,قيد المراجعة
66,25,171,4,2025-05-16 00:00:00,08-11-1446,2025-05-16 00:00:00, , ,REJECTED,مرفوض
67,25,172,4,2025-05-17 00:00:00,07-11-1447,2025-05-17 00:00:00, , ,APPROVED,مقبول
68,25,174,4,2025-05-18 00:00:00,08-11-1447,2025-05-18 00:00:00, , ,PENDING,قيد المراجعة
69,25,175,4,2025-05-19 00:00:00,07-11-1448,2025-05-19 00:00:00, , ,REJECTED,مرفوض
70,26,178,4,2025-05-20 00:00:00, ,2025-05-20 00:00:00, , ,APPROVED,مقبول
bce1,1,1,2,2025-06-04 00:00:00,12-08-1446 AH,2025-06-07 16:21:36,,,PENDING,قيد المراجعة
3959,1,1,3,2025-06-02 00:00:00,12-06-1446 AH,2025-06-09 15:56:30,,,PENDING,قيد المراجعة
8dec,1,1,3,2025-06-06 00:00:00,12-10-1446 AH,2025-06-11 11:57:30,,,PENDING,قيد المراجعة
5bc9,44,7,2,2025-06-03 00:00:00,12-07-1446 AH,2025-06-11 17:49:16,,,PENDING,قيد المراجعة
80f9,45,7,4,2025-06-01 00:00:00,12-05-1446 AH,2025-06-11 17:58:16,,,PENDING,قيد المراجعة
eb27,43,7,3,2025-06-05 00:00:00,12-09-1446 AH,2025-06-12 14:30:48,,,PENDING,قيد المراجعة
3ebe,43,7,2,2025-06-05 00:00:00,12-09-1446 AH,2025-06-14 14:27:08,,,PENDING,قيد المراجعة
4725,43,7,1,2025-06-04 00:00:00,12-08-1446 AH,2025-06-14 14:57:01,,,PENDING,قيد المراجعة
3fc8,45,7,2,2025-06-03 00:00:00,12-07-1446 AH,2025-06-14 15:01:33,,,PENDING,قيد المراجعة
