penalty_id,parent_id,student_id,penalty_type_id,penalty_date_g,penalty_date_h,amount_due,month_number,year,issued_at,paid
1,1,2,1,2025-05-15 00:00:00,07-11-1446,40,8,2025,2025-05-15 00:00:00,N
2,1,4,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,N
3,1,7,1,2025-05-17 00:00:00,07-11-1447,40,8,2025,2025-05-17 00:00:00,Y
4,2,10,1,2025-05-18 00:00:00,08-11-1447,30,8,2025,2025-05-18 00:00:00,N
5,3,18,1,2025-05-19 00:00:00,07-11-1448,30,8,2025,2025-05-19 00:00:00,N
6,3,19,1,2025-05-20 00:00:00,08-11-1448,50,8,2025,2025-05-20 00:00:00,Y
7,4,25,1,2025-05-21 00:00:00,07-11-1449,50,8,2025,2025-05-21 00:00:00,Y
8,4,28,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,Y
9,5,30,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,N
10,5,31,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,N
11,5,33,1,2025-05-25 00:00:00,07-11-1451,30,8,2025,2025-05-25 00:00:00,N
12,5,35,1,2025-05-26 00:00:00,08-11-1451,30,8,2025,2025-05-26 00:00:00,N
13,6,39,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
14,7,44,1,2025-05-28 00:00:00,08-11-1452,50,8,2025,2025-05-28 00:00:00,N
15,7,49,1,2025-05-29 00:00:00,07-11-1453,40,8,2025,2025-05-29 00:00:00,N
16,8,51,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,Y
17,9,58,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,N
18,9,60,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,N
19,9,63,1,2025-05-17 00:00:00,07-11-1447,40,8,2025,2025-05-17 00:00:00,N
20,10,64,1,2025-05-18 00:00:00,08-11-1447,50,8,2025,2025-05-18 00:00:00,Y
21,10,65,1,2025-05-19 00:00:00,07-11-1448,50,8,2025,2025-05-19 00:00:00,Y
22,10,66,1,2025-05-20 00:00:00,08-11-1448,50,8,2025,2025-05-20 00:00:00,N
23,10,68,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,Y
24,11,71,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,N
25,11,72,1,2025-05-23 00:00:00,07-11-1450,50,8,2025,2025-05-23 00:00:00,N
26,11,73,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,Y
27,11,74,1,2025-05-25 00:00:00,07-11-1451,40,8,2025,2025-05-25 00:00:00,Y
28,11,75,1,2025-05-26 00:00:00,08-11-1451,30,8,2025,2025-05-26 00:00:00,Y
29,11,77,1,2025-05-27 00:00:00,07-11-1452,40,8,2025,2025-05-27 00:00:00,N
30,12,78,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,N
31,12,80,1,2025-05-29 00:00:00,07-11-1453,40,8,2025,2025-05-29 00:00:00,N
32,13,90,1,2025-05-30 00:00:00,08-11-1453,40,8,2025,2025-05-30 00:00:00,Y
33,14,94,1,2025-05-15 00:00:00,07-11-1446,40,8,2025,2025-05-15 00:00:00,Y
34,14,97,1,2025-05-16 00:00:00,08-11-1446,40,8,2025,2025-05-16 00:00:00,Y
35,14,98,1,2025-05-17 00:00:00,07-11-1447,50,8,2025,2025-05-17 00:00:00,Y
36,15,100,1,2025-05-18 00:00:00,08-11-1447,40,8,2025,2025-05-18 00:00:00,Y
37,15,103,1,2025-05-19 00:00:00,07-11-1448,50,8,2025,2025-05-19 00:00:00,N
38,15,104,1,2025-05-20 00:00:00,08-11-1448,30,8,2025,2025-05-20 00:00:00,N
39,16,107,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,N
40,16,109,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,N
41,16,110,1,2025-05-23 00:00:00,07-11-1450,50,8,2025,2025-05-23 00:00:00,N
42,17,114,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,N
43,17,117,1,2025-05-25 00:00:00,07-11-1451,50,8,2025,2025-05-25 00:00:00,N
44,17,118,1,2025-05-26 00:00:00,08-11-1451,50,8,2025,2025-05-26 00:00:00,Y
45,18,121,1,2025-05-27 00:00:00,07-11-1452,40,8,2025,2025-05-27 00:00:00,Y
46,18,123,1,2025-05-28 00:00:00,08-11-1452,50,8,2025,2025-05-28 00:00:00,Y
47,18,125,1,2025-05-29 00:00:00,07-11-1453,50,8,2025,2025-05-29 00:00:00,N
48,19,132,1,2025-05-30 00:00:00,08-11-1453,50,8,2025,2025-05-30 00:00:00,N
49,20,135,1,2025-05-15 00:00:00,07-11-1446,30,8,2025,2025-05-15 00:00:00,N
50,20,136,1,2025-05-16 00:00:00,08-11-1446,40,8,2025,2025-05-16 00:00:00,Y
51,20,137,1,2025-05-17 00:00:00,07-11-1447,30,8,2025,2025-05-17 00:00:00,Y
52,20,138,1,2025-05-18 00:00:00,08-11-1447,40,8,2025,2025-05-18 00:00:00,N
53,21,141,1,2025-05-19 00:00:00,07-11-1448,40,8,2025,2025-05-19 00:00:00,N
54,21,145,1,2025-05-20 00:00:00,08-11-1448,30,8,2025,2025-05-20 00:00:00,N
55,22,149,1,2025-05-21 00:00:00,07-11-1449,40,8,2025,2025-05-21 00:00:00,Y
56,22,150,1,2025-05-22 00:00:00,08-11-1449,40,8,2025,2025-05-22 00:00:00,Y
57,22,154,1,2025-05-23 00:00:00,07-11-1450,40,8,2025,2025-05-23 00:00:00,Y
58,23,156,1,2025-05-24 00:00:00,08-11-1450,40,8,2025,2025-05-24 00:00:00,Y
59,23,157,1,2025-05-25 00:00:00,07-11-1451,40,8,2025,2025-05-25 00:00:00,N
60,23,158,1,2025-05-26 00:00:00,08-11-1451,40,8,2025,2025-05-26 00:00:00,N
61,24,162,1,2025-05-27 00:00:00,07-11-1452,50,8,2025,2025-05-27 00:00:00,N
62,24,163,1,2025-05-28 00:00:00,08-11-1452,50,8,2025,2025-05-28 00:00:00,N
63,24,165,1,2025-05-29 00:00:00,07-11-1453,40,8,2025,2025-05-29 00:00:00,N
64,24,167,1,2025-05-30 00:00:00,08-11-1453,30,8,2025,2025-05-30 00:00:00,Y
65,25,169,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,Y
66,25,171,1,2025-05-16 00:00:00,08-11-1446,50,8,2025,2025-05-16 00:00:00,Y
67,25,172,1,2025-05-17 00:00:00,07-11-1447,50,8,2025,2025-05-17 00:00:00,N
68,25,174,1,2025-05-18 00:00:00,08-11-1447,30,8,2025,2025-05-18 00:00:00,Y
69,25,175,1,2025-05-19 00:00:00,07-11-1448,50,8,2025,2025-05-19 00:00:00,N
70,26,178,1,2025-05-20 00:00:00,08-11-1448,40,8,2025,2025-05-20 00:00:00,N
71,27,182,1,2025-05-21 00:00:00,07-11-1449,30,8,2025,2025-05-21 00:00:00,Y
72,27,183,1,2025-05-22 00:00:00,08-11-1449,50,8,2025,2025-05-22 00:00:00,Y
73,28,188,1,2025-05-23 00:00:00,07-11-1450,30,8,2025,2025-05-23 00:00:00,N
74,28,190,1,2025-05-24 00:00:00,08-11-1450,30,8,2025,2025-05-24 00:00:00,N
75,29,191,1,2025-05-25 00:00:00,07-11-1451,40,8,2025,2025-05-25 00:00:00,N
76,29,192,1,2025-05-26 00:00:00,08-11-1451,50,8,2025,2025-05-26 00:00:00,N
77,29,193,1,2025-05-27 00:00:00,07-11-1452,40,8,2025,2025-05-27 00:00:00,N
78,29,194,1,2025-05-28 00:00:00,08-11-1452,40,8,2025,2025-05-28 00:00:00,Y
79,29,195,1,2025-05-29 00:00:00,07-11-1453,30,8,2025,2025-05-29 00:00:00,N
80,30,196,1,2025-05-15 00:00:00,07-11-1446,50,8,2025,2025-05-15 00:00:00,Y
81,30,197,1,2025-05-16 00:00:00,08-11-1446,40,8,2025,2025-05-16 00:00:00,N
82,30,200,1,2025-05-17 00:00:00,07-11-1447,30,8,2025,2025-05-17 00:00:00,Y
