id,student_id,reward_type_id,month_number,month,year,issued_at,performance_percentage
1,1,1,1,September,2025,9/30/2024,85%
2,1,9,2,October,2025,10/30/2024,78%
3,1,4,3,November,2025,11/30/2024,83%
4,1,9,4,January,2025,1/30/2025,95%
5,1,6,5,February,2025,2/28/2025,76%
6,1,4,6,March,2025,3/30/2025,87%
7,1,1,7,April,2025,4/30/2025,90%
8,2,3,1,September,2025,9/30/2024,82%
9,2,8,2,October,2025,10/30/2024,77%
10,2,2,3,November,2025,11/30/2024,87%
11,2,2,4,January,2025,1/30/2025,77%
12,2,6,5,February,2025,2/28/2025,83%
13,2,7,6,March,2025,3/30/2025,83%
14,2,1,7,April,2025,4/30/2025,92%
15,3,3,1,September,2025,9/30/2024,85%
16,3,9,2,October,2025,10/30/2024,94%
17,3,2,3,November,2025,11/30/2024,89%
18,3,5,4,January,2025,1/30/2025,87%
19,3,9,5,February,2025,2/28/2025,83%
20,3,3,6,March,2025,3/30/2025,90%
21,3,8,7,April,2025,4/30/2025,91%
22,4,1,1,September,2025,9/30/2024,86%
23,4,4,2,October,2025,10/30/2024,87%
24,4,9,3,November,2025,11/30/2024,87%
25,4,7,4,January,2025,1/30/2025,75%
26,4,2,5,February,2025,2/28/2025,87%
27,4,8,6,March,2025,3/30/2025,93%
28,4,3,7,April,2025,4/30/2025,90%
29,5,9,1,September,2025,9/30/2024,76%
30,5,7,2,October,2025,10/30/2024,86%
31,5,8,3,November,2025,11/30/2024,80%
32,5,6,4,January,2025,1/30/2025,89%
33,5,8,5,February,2025,2/28/2025,86%
34,5,2,6,March,2025,3/30/2025,93%
35,5,2,7,April,2025,4/30/2025,81%
36,6,7,1,September,2025,9/30/2024,93%
37,6,8,2,October,2025,10/30/2024,88%
38,6,1,3,November,2025,11/30/2024,88%
39,6,1,4,January,2025,1/30/2025,85%
40,6,5,5,February,2025,2/28/2025,76%
41,6,1,6,March,2025,3/30/2025,83%
42,6,7,7,April,2025,4/30/2025,79%
43,7,5,1,September,2025,9/30/2024,75%
44,7,7,2,October,2025,10/30/2024,81%
45,7,6,3,November,2025,11/30/2024,78%
46,7,9,4,January,2025,1/30/2025,86%
47,7,7,5,February,2025,2/28/2025,88%
48,7,7,6,March,2025,3/30/2025,95%
49,7,6,7,April,2025,4/30/2025,84%
50,8,8,1,September,2025,9/30/2024,79%
51,8,4,2,October,2025,10/30/2024,78%
52,8,7,3,November,2025,11/30/2024,81%
53,8,3,4,January,2025,1/30/2025,76%
54,8,3,5,February,2025,2/28/2025,89%
55,8,6,6,March,2025,3/30/2025,88%
56,8,8,7,April,2025,4/30/2025,92%
57,9,3,1,September,2025,9/30/2024,94%
58,9,4,2,October,2025,10/30/2024,82%
59,9,8,3,November,2025,11/30/2024,88%
60,9,9,4,January,2025,1/30/2025,83%
61,9,8,5,February,2025,2/28/2025,75%
62,9,2,6,March,2025,3/30/2025,89%
63,9,9,7,April,2025,4/30/2025,90%
64,10,6,1,September,2025,9/30/2024,77%
65,10,2,2,October,2025,10/30/2024,93%
66,10,3,3,November,2025,11/30/2024,85%
67,10,8,4,January,2025,1/30/2025,82%
68,10,6,5,February,2025,2/28/2025,79%
